symbol,side,entry,exit,quantity,pnl,reason,time
ASIANPAINT,BUY,2705.0,2700.9,1,-4.099999999999909,stop_loss_hit,2026-01-22 14:05:00+05:30
BANKBARODA,SELL,724.2,725.25,6,-6.299999999999727,trend_invalidated_at_1500,2026-01-22 15:00:00+05:30
HDFCBANK,SELL,914.9,915.8,3,-2.699999999999932,stop_loss_hit,2026-01-23 12:10:00+05:30
ADANIENT,SELL,1385.9,1314.0,2,143.80000000000018,ema_9_trailing_stop,2026-01-23 14:50:00+05:30
ADANIENT,BUY,1352.4,1341.4,3,-33.0,stop_loss_hit,2026-01-27 13:40:00+05:30
HDFCBANK,BUY,917.85,931.0,5,65.74999999999989,force_square_off_1520,2026-01-27 15:20:00+05:30
BAJAJFINSV,SELL,1938.0,1935.1,1,2.900000000000091,stop_loss_hit,2026-01-28 11:40:00+05:30
ADANIENT,BUY,1381.9,1398.7,2,33.59999999999991,ema_9_trailing_stop,2026-01-29 14:00:00+05:30
BANKBARODA,BUY,730.35,728.5,6,-11.100000000000136,trend_invalidated_at_1500,2026-01-29 15:00:00+05:30
BANKBARODA,SELL,721.45,722.3,3,-2.549999999999727,stop_loss_hit,2026-01-30 10:00:00+05:30
BAJAJFINSV,BUY,1942.2,1950.8,2,17.199999999999818,force_square_off_1520,2026-01-30 15:20:00+05:30
HDFCBANK,BUY,936.5,937.0,3,1.5,stop_loss_hit,2026-02-01 11:30:00+05:30
BAJAJFINSV,BUY,1945.0,1940.0,2,-10.0,stop_loss_hit,2026-02-01 12:10:00+05:30
HDFCBANK,SELL,923.0,923.75,5,-3.75,stop_loss_hit,2026-02-02 09:30:00+05:30
ADANIENT,BUY,1377.6,1401.0,2,46.80000000000018,force_square_off_1520,2026-02-02 15:20:00+05:30
BANKBARODA,BUY,729.9,721.2,6,-52.19999999999959,stop_loss_hit,2026-02-03 12:20:00+05:30
BANKBARODA,SELL,721.85,723.5,3,-4.949999999999932,stop_loss_hit,2026-02-04 09:30:00+05:30
